Number of Processes, Number of Rounds, Total RMR, RMR per Critical Section
550,6745,2053362,3733.3854545454546
550,6627,2100659,3819.38
550,6281,2010808,3656.0145454545454
550,7432,2258309,4106.016363636364
550,6260,1907316,3467.847272727273
550,5532,1690726,3074.0472727272727
550,6537,1927040,3503.7090909090907
550,6896,2042166,3713.029090909091
575,6158,1961709,3411.6678260869567
575,6060,1871171,3254.210434782609
575,5819,1824092,3172.3339130434783
575,5938,1901979,3307.789565217391
575,6064,2055756,3575.2278260869566
575,6211,1973497,3432.168695652174
575,6413,2188503,3806.0921739130436
575,7094,2324113,4041.9356521739132
575,6673,2158485,3753.886956521739
575,6674,2210436,3844.2365217391302
600,6084,2042045,3403.4083333333333
600,7317,2419737,4032.895
600,6803,2246542,3744.2366666666667
600,6957,2186303,3643.838333333333
600,6140,2091042,3485.07
600,7162,2377991,3963.318333333333
600,6599,2198141,3663.568333333333
600,6563,2274903,3791.505
600,6914,2336939,3894.8983333333335
600,6170,2149805,3583.008333333333
625,6428,2198665,3517.864
625,7542,2607181,4171.4896
625,6009,2228223,3565.1568
625,7151,2490493,3984.7888
625,6343,2199621,3519.3936
625,6917,2378892,3806.2272
625,7370,2576046,4121.6736
625,6406,2190106,3504.1696
625,7328,2564516,4103.2256
625,6937,2419663,3871.4608
650,7786,2820616,4339.409230769231
650,7356,2804024,4313.883076923077
650,6393,2422945,3727.607692307692
650,6565,2417363,3719.02
650,6730,2445581,3762.432307692308
650,6986,2615821,4024.34
650,7450,2768923,4259.881538461538
650,7312,2656816,4087.409230769231
650,5937,2242575,3450.1153846153848
650,6738,2477408,3811.396923076923
675,6754,2426296,3594.5125925925927
675,7064,2744997,4066.662222222222
675,7188,2715970,4023.659259259259
675,7608,2952165,4373.577777777778
675,7319,2750934,4075.4577777777777
675,7613,2777598,4114.96
675,6573,2560866,3793.8755555555554
675,6605,2432136,3603.1644444444446
675,7371,2998878,4442.782222222222
675,6845,2655088,3933.4637037037037
700,6998,2658662,3798.0885714285714
700,7187,2809245,4013.207142857143
700,6885,2759112,3941.5885714285714
700,7233,2833431,4047.7585714285715
700,7201,2692697,3846.71
700,7261,2845532,4065.0457142857144
