Number of Processes, Number of Rounds, Total RMR, RMR per Critical Section
550,9587,2807728,5104.96
550,8689,2564886,4663.4290909090905
550,8366,2488758,4525.014545454545
550,8169,2508548,4560.996363636364
550,8361,2570506,4673.647272727273
550,8566,2485701,4519.456363636364
550,8274,2520010,4581.836363636364
550,7806,2462140,4476.618181818182
550,8063,2428485,4415.427272727273
550,7652,2317594,4213.807272727273
575,8078,2616485,4550.408695652174
575,8369,2641351,4593.6539130434785
575,7705,2381639,4141.980869565217
575,7389,2392907,4161.577391304348
575,7330,2417435,4204.234782608695
575,8649,2696713,4689.935652173913
575,8150,2406495,4185.208695652174
575,8405,2644549,4599.215652173913
575,8535,2638357,4588.446956521739
575,7930,2311526,4020.0452173913045
600,8581,2705503,4509.171666666667
600,9305,3237179,5395.298333333333
600,8859,2967299,4945.498333333333
600,8855,2945982,4909.97
600,8656,2768100,4613.5
600,9591,3179663,5299.4383333333335
600,9031,2882427,4804.045
600,8595,2985841,4976.401666666667
600,8981,3002229,5003.715
600,9269,3082028,5136.713333333333
625,9331,3234529,5175.2464
625,8034,2826880,4523.008
625,9086,2975858,4761.3728
625,8591,2859969,4575.9504
625,8539,2957283,4731.6528
625,8237,2811486,4498.3776
625,10077,3344121,5350.5936
625,8230,2728621,4365.7936
625,9754,3159258,5054.8128
625,9103,3185642,5097.0272
650,8990,3265830,5024.3538461538465
650,8941,3235478,4977.658461538462
650,8890,3229154,4967.92923076923
650,9026,3271392,5032.910769230769
650,10435,3786411,5825.247692307692
650,9617,3464165,5329.484615384616
650,9931,3483814,5359.713846153846
650,9053,3260043,5015.450769230769
650,9711,3423911,5267.555384615384
650,9691,3322420,5111.415384615385
675,9677,3718805,5509.34074074074
675,9505,3544317,5250.84
675,9933,3722182,5514.343703703704
675,9570,3507426,5196.1866666666665
675,8691,3145490,4659.985185185185
675,9412,3549537,5258.573333333334
675,9503,3451240,5112.948148148148
675,9270,3560358,5274.604444444444
675,9366,3435396,5089.475555555556
675,8498,3123759,4627.791111111111
700,9581,3582513,5117.875714285714
700,9391,3671424,5244.891428571428
700,8709,3303820,4719.742857142857
700,8721,3566920,5095.6
700,10088,3900839,5572.627142857143
700,10339,4147245,5924.635714285714
700,9362,3599011,5141.444285714286
700,9939,3969344,5670.4914285714285
700,9084,3318445,4740.635714285714
700,10457,4036083,5765.832857142857
725,10395,4182671,5769.201379310345
725,10221,3992633,5507.08
725,9538,3814753,5261.728275862069
725,10398,4232186,5837.4979310344825
725,9072,3621143,4994.68
725,10646,4241555,5850.420689655172
725,10597,4291911,5919.87724137931
725,10419,4031321,5560.442758620689
725,10228,4120947,5684.064827586207
725,9422,3890179,5365.764137931034
750,10133,4307735,5743.6466666666665
